"OBJECTID","CONFIRMED","ACTIVE","RECOVERED","DEATHS","DATE","Shape__Area","Shape__Length","new_cases","new_deaths"
146,3430,125,3109,201,NA,22448726051.2511,785106.996974002,21,0
147,3441,117,3128,201,NA,22448726051.2511,785106.996974002,11,0
148,3450,125,3129,201,NA,22448726051.2511,785106.996974002,9,0
149,3454,113,3145,201,NA,22448726051.2511,785106.996974002,4,0
150,3462,107,3159,201,NA,22448726051.2511,785106.996974002,8,0
151,3480,118,3164,203,NA,22448726051.2511,785106.996974002,18,2
152,3488,126,3164,203,NA,22448726051.2511,785106.996974002,8,0
153,3504,137,3169,203,NA,22448726051.2511,785106.996974002,16,0
154,3528,161,3169,203,NA,22448726051.2511,785106.996974002,24,0
155,3542,174,3170,203,NA,22448726051.2511,785106.996974002,14,0
156,3551,158,3195,203,NA,22448726051.2511,785106.996974002,9,0
157,3558,155,3204,204,NA,22448726051.2511,785106.996974002,7,1
158,3578,166,3213,204,NA,22448726051.2511,785106.996974002,20,0
159,3590,167,3224,204,NA,22448726051.2511,785106.996974002,12,0
160,3600,166,3235,204,NA,22448726051.2511,785106.996974002,10,0
161,3628,173,3256,204,NA,22448726051.2511,785106.996974002,28,0
162,3637,182,3256,204,NA,22448726051.2511,785106.996974002,9,0
163,3646,190,3257,204,NA,22448726051.2511,785106.996974002,9,0
164,3656,124,3333,204,NA,22448726051.2511,785106.996974002,10,0
165,3675,135,3341,204,NA,22448726051.2511,785106.996974002,19,0
166,3691,145,3347,204,NA,22448726051.2511,785106.996974002,16,0
167,3722,150,3373,204,NA,22448726051.2511,785106.996974002,31,0
168,3738,165,3374,204,NA,22448726051.2511,785106.996974002,16,0
169,3748,175,3374,204,NA,22448726051.2511,785106.996974002,10,0
170,3763,169,3395,204,NA,22448726051.2511,785106.996974002,15,0
171,3772,171,3402,204,NA,22448726051.2511,785106.996974002,9,0
172,3784,175,3410,204,NA,22448726051.2511,785106.996974002,12,0
173,3793,175,3419,204,NA,22448726051.2511,785106.996974002,9,0
174,3809,171,3439,204,NA,22448726051.2511,785106.996974002,16,0
175,3821,162,3460,204,NA,22448726051.2511,785106.996974002,12,0
176,3835,176,3459,205,NA,22448726051.2511,785106.996974002,14,1
177,3853,171,3482,205,NA,22448726051.2511,785106.996974002,18,0
178,3858,176,3482,205,NA,22448726051.2511,785106.996974002,5,0
179,3868,173,3495,205,NA,22448726051.2511,785106.996974002,10,0
180,3872,171,3501,205,NA,22448726051.2511,785106.996974002,4,0
181,3880,168,3512,205,NA,22448726051.2511,785106.996974002,8,0
182,3894,160,3534,205,NA,22448726051.2511,785106.996974002,14,0
183,3910,176,3534,205,NA,22448726051.2511,785106.996974002,16,0
184,3921,123,3598,205,NA,22448726051.2511,785106.996974002,11,0
185,3937,123,3614,205,NA,22448726051.2511,785106.996974002,16,0
186,3953,125,3628,205,NA,22448726051.2511,785106.996974002,16,0
187,3969,140,3629,205,NA,22448726051.2511,785106.996974002,16,0
188,3993,158,3635,205,NA,22448726051.2511,785106.996974002,24,0
189,4012,159,3653,205,NA,22448726051.2511,785106.996974002,19,0
190,4025,172,3653,205,NA,22448726051.2511,785106.996974002,13,0
191,4041,188,3653,205,NA,22448726051.2511,785106.996974002,16,0
192,4053,164,3689,205,NA,22448726051.2511,785106.996974002,12,0
193,4070,168,3702,205,NA,22448726051.2511,785106.996974002,17,0
194,4093,179,3714,205,NA,22448726051.2511,785106.996974002,23,0
195,4116,178,3738,205,NA,22448726051.2511,785106.996974002,23,0
196,4142,193,3748,206,NA,22448726051.2511,785106.996974002,26,1
197,4160,210,3748,207,NA,22448726051.2511,785106.996974002,18,1
198,4172,198,3772,207,NA,22448726051.2511,785106.996974002,12,0
199,4185,188,3795,207,NA,22448726051.2511,785106.996974002,13,0
200,4206,187,3817,207,NA,22448726051.2511,785106.996974002,21,0
201,4226,190,3834,207,NA,22448726051.2511,785106.996974002,20,0
202,4259,190,3867,207,NA,22448726051.2511,785106.996974002,33,0
203,4284,186,3896,207,NA,22448726051.2511,785106.996974002,25,0
204,4310,212,3896,207,NA,22448726051.2511,785106.996974002,26,0
205,4319,197,3920,207,NA,22448726051.2511,785106.996974002,9,0
206,4334,175,3957,207,NA,22448726051.2511,785106.996974002,15,0
207,4382,209,3971,207,NA,22448726051.2511,785106.996974002,48,0
208,4420,229,3989,207,NA,22448726051.2511,785106.996974002,38,0
209,4450,245,4003,207,NA,22448726051.2511,785106.996974002,30,0
210,4489,256,4031,207,NA,22448726051.2511,785106.996974002,39,0
211,4523,289,4032,207,NA,22448726051.2511,785106.996974002,34,0
212,4548,306,4040,207,NA,22448726051.2511,785106.996974002,25,0
213,4579,289,4088,207,NA,22448726051.2511,785106.996974002,31,0
214,4632,326,4104,207,NA,22448726051.2511,785106.996974002,53,0
215,4668,346,4120,207,NA,22448726051.2511,785106.996974002,36,0
216,4692,318,4172,207,NA,22448726051.2511,785106.996974002,24,0
217,4725,297,4226,207,NA,22448726051.2511,785106.996974002,33,0
218,4765,335,4228,207,NA,22448726051.2511,785106.996974002,40,0
219,4791,277,4312,207,NA,22448726051.2511,785106.996974002,26,0
220,4812,271,4339,207,NA,22448726051.2511,785106.996974002,21,0
221,4873,303,4367,208,NA,22448726051.2511,785106.996974002,61,1
222,4919,324,4391,209,NA,22448726051.2511,785106.996974002,46,1
223,4985,340,4440,210,NA,22448726051.2511,785106.996974002,66,1
224,5040,354,4481,210,NA,22448726051.2511,785106.996974002,55,0
225,5077,390,4481,211,NA,22448726051.2511,785106.996974002,37,1
226,5105,355,4543,212,NA,22448726051.2511,785106.996974002,28,1
227,5131,338,4586,212,NA,22448726051.2511,785106.996974002,26,0
228,5201,379,4615,212,NA,22448726051.2511,785106.996974002,70,0
229,5251,398,4646,212,NA,22448726051.2511,785106.996974002,50,0
230,5350,449,4694,212,NA,22448726051.2511,785106.996974002,99,0
231,5421,466,4748,212,NA,22448726051.2511,785106.996974002,71,0
232,5488,531,4750,212,NA,22448726051.2511,785106.996974002,67,0
233,5549,522,4820,212,NA,22448726051.2511,785106.996974002,61,0
234,5590,471,4912,212,NA,22448726051.2511,785106.996974002,41,0
235,5684,557,4920,212,NA,22448726051.2511,785106.996974002,94,0
236,5782,589,4986,212,NA,22448726051.2511,785106.996974002,98,0
237,5930,709,5014,212,NA,22448726051.2511,785106.996974002,148,0
238,6050,718,5125,212,NA,22448726051.2511,785106.996974002,120,0
239,6157,823,5125,214,NA,22448726051.2511,785106.996974002,107,2
240,6277,868,5197,217,NA,22448726051.2511,785106.996974002,120,3
241,6375,854,5309,217,NA,22448726051.2511,785106.996974002,98,0
242,6597,968,5416,218,NA,22448726051.2511,785106.996974002,222,1
243,6775,1077,5485,218,NA,22448726051.2511,785106.996974002,178,0
244,6985,1112,5659,219,NA,22448726051.2511,785106.996974002,210,1
245,7184,1310,5659,220,NA,22448726051.2511,785106.996974002,199,1
246,7422,1545,5661,221,NA,22448726051.2511,785106.996974002,238,1
247,7575,1311,6047,222,NA,22448726051.2511,785106.996974002,153,1
248,7728,1328,6183,222,NA,22448726051.2511,785106.996974002,153,0
249,7968,1556,6195,222,NA,22448726051.2511,785106.996974002,240,0
250,8195,1779,6198,223,NA,22448726051.2511,785106.996974002,227,1
251,8414,1715,6479,225,NA,22448726051.2511,785106.996974002,219,2
252,8603,1902,6481,225,NA,22448726051.2511,785106.996974002,189,0
253,8810,1792,6797,226,NA,22448726051.2511,785106.996974002,207,1
254,9009,1800,6988,226,NA,22448726051.2511,785106.996974002,199,0
255,9184,1973,6990,226,NA,22448726051.2511,785106.996974002,175,0
256,9454,2239,6991,229,NA,22448726051.2511,785106.996974002,270,3
257,9667,2448,6993,231,NA,22448726051.2511,785106.996974002,213,2
258,9890,1979,7681,235,NA,22448726051.2511,785106.996974002,223,4
259,10026,1770,8023,238,NA,22448726051.2511,785106.996974002,136,3
260,10261,1829,8199,238,NA,22448726051.2511,785106.996974002,235,0
261,10473,2021,8216,241,NA,22448726051.2511,785106.996974002,212,3
262,10687,2056,8393,243,NA,22448726051.2511,785106.996974002,214,2
263,10975,1845,8887,248,NA,22448726051.2511,785106.996974002,288,5
264,11323,1894,9180,254,NA,22448726051.2511,785106.996974002,348,6
265,11580,2065,9261,259,NA,22448726051.2511,785106.996974002,257,5
266,11828,2068,9501,264,NA,22448726051.2511,785106.996974002,248,5
267,12184,2244,9678,267,NA,22448726051.2511,785106.996974002,356,3
268,12487,2309,9914,269,NA,22448726051.2511,785106.996974002,303,2
269,12798,2593,9940,270,NA,22448726051.2511,785106.996974002,311,1
270,13110,2713,10126,276,NA,22448726051.2511,785106.996974002,312,6
271,13403,2526,10600,282,NA,22448726051.2511,785106.996974002,293,6
272,13869,2987,10599,288,NA,22448726051.2511,785106.996974002,466,6
273,14296,3286,10716,299,NA,22448726051.2511,785106.996974002,427,11
274,14696,3680,10717,304,NA,22448726051.2511,785106.996974002,400,5
275,14984,3964,10717,308,NA,22448726051.2511,785106.996974002,288,4
276,15277,3721,11247,314,NA,22448726051.2511,785106.996974002,293,6
277,15574,3227,12020,332,NA,22448726051.2511,785106.996974002,297,18
278,15952,3132,12491,334,NA,22448726051.2511,785106.996974002,378,2
279,16353,3325,12696,337,NA,22448726051.2511,785106.996974002,401,3
280,16800,3509,12947,349,NA,22448726051.2511,785106.996974002,447,12
281,17104,3808,12947,354,NA,22448726051.2511,785106.996974002,304,5
282,17408,3459,13594,360,NA,22448726051.2511,785106.996974002,304,6
283,17635,3680,13595,365,NA,22448726051.2511,785106.996974002,227,5
284,17881,3794,13719,373,NA,22448726051.2511,785106.996974002,246,8
285,18353,3479,14493,386,NA,22448726051.2511,785106.996974002,472,13
286,18666,3660,14616,395,NA,22448726051.2511,785106.996974002,313,9
287,18956,3938,14616,407,NA,22448726051.2511,785106.996974002,290,12
288,19184,4156,14616,417,NA,22448726051.2511,785106.996974002,228,10
289,19424,3873,15127,429,NA,22448726051.2511,785106.996974002,240,12
290,19670,4046,15194,435,NA,22448726051.2511,785106.996974002,246,6
291,20006,4372,15194,445,NA,22448726051.2511,785106.996974002,336,10
292,20460,4818,15194,453,NA,22448726051.2511,785106.996974002,454,8
293,20959,5313,15194,457,NA,22448726051.2511,785106.996974002,499,4
294,21361,5711,15194,461,NA,22448726051.2511,785106.996974002,402,4
295,21683,6027,15194,467,NA,22448726051.2511,785106.996974002,322,6
296,22010,5033,16509,473,NA,22448726051.2511,785106.996974002,327,6
297,22287,4440,17370,482,NA,22448726051.2511,785106.996974002,277,9
298,22580,4630,17466,489,NA,22448726051.2511,785106.996974002,293,7
299,23051,3902,18652,502,NA,22448726051.2511,785106.996974002,471,13
300,23525,3631,19384,515,NA,22448726051.2511,785106.996974002,474,13
301,23996,4096,19384,521,NA,22448726051.2511,785106.996974002,471,6
302,24449,4534,19394,526,NA,22448726051.2511,785106.996974002,453,5
303,24671,3676,20471,529,NA,22448726051.2511,785106.996974002,222,3
304,24960,3637,20794,534,NA,22448726051.2511,785106.996974002,289,5
305,25202,3510,21159,538,NA,22448726051.2511,785106.996974002,242,4
306,25532,3544,21449,544,NA,22448726051.2511,785106.996974002,330,6
307,25909,3614,21752,548,NA,22448726051.2511,785106.996974002,377,4
308,26282,3982,21752,553,NA,22448726051.2511,785106.996974002,373,5
309,26569,3868,22150,556,NA,22448726051.2511,785106.996974002,287,3
310,26782,3818,22410,559,NA,22448726051.2511,785106.996974002,213,3
311,27038,3695,22785,563,NA,22448726051.2511,785106.996974002,256,4
312,27241,3898,22785,563,NA,22448726051.2511,785106.996974002,203,0
313,27461,3441,23456,569,NA,22448726051.2511,785106.996974002,220,6
314,27701,3206,23926,574,NA,22448726051.2511,785106.996974002,240,5
315,27954,3457,23926,576,NA,22448726051.2511,785106.996974002,253,2
316,28253,3302,24377,579,NA,22448726051.2511,785106.996974002,299,3
317,28458,2769,25110,584,NA,22448726051.2511,785106.996974002,205,5
318,28566,2690,25293,588,NA,22448726051.2511,785106.996974002,108,4
319,28674,2794,25293,592,NA,22448726051.2511,785106.996974002,108,4
320,28833,2949,25293,596,NA,22448726051.2511,785106.996974002,159,4
321,28957,2401,25962,604,NA,22448726051.2511,785106.996974002,124,8
322,29088,2395,26097,606,NA,22448726051.2511,785106.996974002,131,2
323,29235,2105,26533,607,NA,22448726051.2511,785106.996974002,147,1
324,29382,2082,26699,611,NA,22448726051.2511,785106.996974002,147,4
325,29473,2034,26837,612,NA,22448726051.2511,785106.996974002,91,1
326,29574,1966,27005,613,NA,22448726051.2511,785106.996974002,101,1
327,29648,1566,27475,617,NA,22448726051.2511,785106.996974002,74,4
328,29749,1410,27728,621,NA,22448726051.2511,785106.996974002,101,4
329,29864,1334,27914,626,NA,22448726051.2511,785106.996974002,115,5
330,29963,1432,27914,627,NA,22448726051.2511,785106.996974002,99,1
331,30052,1260,28170,632,NA,22448726051.2511,785106.996974002,89,5
332,30122,1308,28190,634,NA,22448726051.2511,785106.996974002,70,2
333,30198,1257,28313,638,NA,22448726051.2511,785106.996974002,76,4
334,30293,1082,28579,642,NA,22448726051.2511,785106.996974002,95,4
335,30403,746,29023,644,NA,22448726051.2511,785106.996974002,110,2
336,30519,862,29023,644,NA,22448726051.2511,785106.996974002,116,0
337,30598,939,29023,646,NA,22448726051.2511,785106.996974002,79,2
338,30682,1022,29023,647,NA,22448726051.2511,785106.996974002,84,1
339,30757,899,29219,649,NA,22448726051.2511,785106.996974002,75,2
340,30830,923,29268,649,NA,22448726051.2511,785106.996974002,73,0
341,30891,839,29411,651,NA,22448726051.2511,785106.996974002,61,2
342,30966,724,29598,654,NA,22448726051.2511,785106.996974002,75,3
343,31032,615,29772,655,NA,22448726051.2511,785106.996974002,66,1
344,31104,685,29772,657,NA,22448726051.2511,785106.996974002,72,2
345,31164,667,29850,657,NA,22448726051.2511,785106.996974002,60,0
346,31205,669,29889,657,NA,22448726051.2511,785106.996974002,41,0
347,31241,626,29965,660,NA,22448726051.2511,785106.996974002,36,3
348,31295,588,30053,664,NA,22448726051.2511,785106.996974002,54,4
349,31381,591,30134,666,NA,22448726051.2511,785106.996974002,86,2
350,31461,560,30244,667,NA,22448726051.2511,785106.996974002,80,1
351,31541,640,30244,667,NA,22448726051.2511,785106.996974002,80,0
352,31614,561,30395,668,NA,22448726051.2511,785106.996974002,73,1
353,31677,566,30453,668,NA,22448726051.2511,785106.996974002,63,0
354,31728,589,30477,672,NA,22448726051.2511,785106.996974002,51,4
355,31807,557,30587,673,NA,22448726051.2511,785106.996974002,79,1
356,31853,550,30639,674,NA,22448726051.2511,785106.996974002,46,1
357,31922,619,30639,674,NA,22448726051.2511,785106.996974002,69,0
358,31977,674,30638,675,NA,22448726051.2511,785106.996974002,55,1
359,32043,579,30799,675,NA,22448726051.2511,785106.996974002,66,0
360,32088,582,30839,677,NA,22448726051.2511,785106.996974002,45,2
361,32124,563,30891,680,NA,22448726051.2511,785106.996974002,36,3
362,32172,456,31046,680,NA,22448726051.2511,785106.996974002,48,0
363,32218,397,31150,681,NA,22448726051.2511,785106.996974002,46,1
364,32291,470,31150,681,NA,22448726051.2511,785106.996974002,73,0
365,32334,513,31150,681,NA,22448726051.2511,785106.996974002,43,0
366,32395,218,31504,683,NA,22448726051.2511,785106.996974002,61,2
367,32459,270,31516,683,NA,22448726051.2511,785106.996974002,64,0
368,32533,321,31538,684,NA,22448726051.2511,785106.996974002,74,1
369,32609,310,31625,684,NA,22448726051.2511,785106.996974002,76,0
