"Test.Date","County","New.Positives","Cumulative.Number.of.Positives","Total.Number.of.Tests.Performed","Cumulative.Number.of.Tests.Performed","Percent.Change","Three.Day.Average","Three.Day.Change","Three.Day.Percentage","Last.28.Days","Last.14.Days","Last.7.Days","Last.7.Days.Mean","Positive.Per.100000","Percent.Positive","Total.Percent.Positive","Three.Day.Percent.Positive","Percent.Change.Tests","Three.Day.Average.Tests","Three.Day.Change.Tests","Three.Day.Percentage.Tests","Last.28.Days.Tests","Last.14.Days.Tests","Last.7.Days.Tests","Roll.Last.7.Days.Cases","Roll.Last.7.Days.Tests","Roll.Percent.Positive.7.days"
2020-03-01,"Onondaga",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,"Onondaga",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,"Onondaga",0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,"Onondaga",0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
2020-03-05,"Onondaga",0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
2020-03-06,"Onondaga",0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
2020-03-07,"Onondaga",0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA
2020-03-08,"Onondaga",0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA
2020-03-09,"Onondaga",0,0,1,1,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,0.333333333333333,1,Inf,NA,NA,1,0,0.142857142857143,0
2020-03-10,"Onondaga",0,0,0,1,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,0.666666666666667,1,Inf,NA,NA,1,0,0.142857142857143,0
2020-03-11,"Onondaga",0,0,3,4,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,2,4,Inf,NA,NA,4,0,0.571428571428571,0
2020-03-12,"Onondaga",0,0,1,5,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,3.33333333333333,4,400,NA,NA,5,0,0.714285714285714,0
2020-03-13,"Onondaga",0,0,9,14,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,7.66666666666667,13,1300,NA,NA,14,0,2,0
2020-03-14,"Onondaga",0,0,18,32,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,17,28,700,NA,NA,32,0,4.57142857142857,0
2020-03-15,"Onondaga",1,1,27,59,Inf,0.333333333333333,1,Inf,NA,1,1,0.142857142857143,0.0310202947176161,0.037037037037037,0.0169491525423729,0.0185185185185185,Inf,35,54,1080,NA,59,59,0.142857142857143,8.42857142857143,1.69491525423729
2020-03-16,"Onondaga",1,2,55,114,100,1,2,Inf,NA,2,2,0.285714285714286,0.0620405894352321,0.0181818181818182,0.0175438596491228,0.02,100,68.3333333333333,100,714,NA,114,113,0.285714285714286,16.1428571428571,1.76991150442478
2020-03-17,"Onondaga",0,2,15,129,0,1.66666666666667,2,Inf,NA,2,2,0.285714285714286,0.0620405894352321,0,0.0155038759689922,0.0206185567010309,0,100.666666666667,97,303,NA,129,128,0.285714285714286,18.2857142857143,1.5625
2020-03-18,"Onondaga",3,5,98,227,150,3,5,400,NA,5,5,0.714285714285714,0.15510147358808,0.0306122448979592,0.0220264317180617,0.0238095238095238,150,156.666666666667,168,285,NA,227,223,0.714285714285714,31.8571428571429,2.24215246636771
2020-03-19,"Onondaga",3,8,60,287,60,5,7,300,NA,8,8,1.14285714285714,0.248162357740928,0.05,0.0278745644599303,0.0346820809248555,60,214.333333333333,173,152,NA,287,282,1.14285714285714,40.2857142857143,2.83687943262411
2020-03-20,"Onondaga",9,17,133,420,112,10,15,750,NA,17,17,2.42857142857143,0.527345010199473,0.0676691729323308,0.0404761904761905,0.0515463917525773,112,311.333333333333,291,226,NA,420,406,2.42857142857143,58,4.1871921182266
2020-03-21,"Onondaga",12,29,157,577,71,18,27,480,NA,29,29,4.14285714285714,0.899588546810866,0.0764331210191083,0.0502599653379549,0.0685714285714286,71,428,350,154,NA,577,545,4.14285714285714,77.8571428571429,5.32110091743119
2020-03-22,"Onondaga",23,52,538,1115,79,32.6666666666667,47,550,NA,52,51,7.28571428571429,1.58203503059842,0.0427509293680297,0.0466367713004484,0.0531400966183575,79,704,828,289,NA,1115,1056,7.28571428571429,150.857142857143,4.82954545454545
2020-03-23,"Onondaga",8,60,129,1244,15,47,52,253,NA,60,58,8.28571428571429,1.79917709362173,0.062015503875969,0.0482315112540193,0.0521844660194175,15,978.666666666667,824,196,NA,1243,1130,8.28571428571429,161.428571428571,5.13274336283186
2020-03-24,"Onondaga",5,65,124,1368,8,59,48,124,NA,65,63,9,1.95427856720981,0.0403225806451613,0.0475146198830409,0.04551201011378,8,1242.33333333333,791,137,NA,1367,1239,9,177,5.08474576271187
2020-03-25,"Onondaga",18,83,266,1634,28,69.3333333333333,54,60,NA,83,78,11.1428571428571,2.41958298797405,0.0676691729323308,0.0507955936352509,0.0597302504816956,28,1415.33333333333,519,47,NA,1630,1407,11.1428571428571,201,5.54371002132196
2020-03-26,"Onondaga",32,115,444,2078,39,87.6666666666667,63,92,NA,115,107,15.2857142857143,3.31917153478492,0.0720720720720721,0.0553416746871992,0.065947242206235,39,1693.33333333333,834,67,NA,2073,1791,15.2857142857143,255.857142857143,5.97431602456728
2020-03-27,"Onondaga",14,129,352,2430,12,109,69,98,NA,129,112,16,3.474273008373,0.0397727272727273,0.0530864197530864,0.0602636534839925,12,2047.33333333333,1062,78,NA,2416,2010,16,287.142857142857,5.57213930348259
2020-03-28,"Onondaga",23,152,487,2917,18,132,87,83,NA,152,123,17.5714285714286,3.81549625026678,0.0472279260780287,0.052108330476517,0.053780202650039,18,2475,1283,79,NA,2885,2340,17.5714285714286,334.285714285714,5.25641025641026
2020-03-29,"Onondaga",28,180,206,3123,18,153.666666666667,97,57,180,179,128,18.2857142857143,3.97059772385485,0.135922330097087,0.0576368876080692,0.062200956937799,18,2823.33333333333,1045,50,3123,3064,2008,18.2857142857143,286.857142857143,6.37450199203187
2020-03-30,"Onondaga",14,194,139,3262,8,175.333333333333,79,50,194,192,134,19.1428571428571,4.15671949216055,0.100719424460432,0.0594727161250766,0.078125,8,3100.66666666667,832,34,3262,3148,2018,19.1428571428571,288.285714285714,6.6402378592666
2020-03-31,"Onondaga",23,217,163,3425,12,197,88,43,217,215,152,21.7142857142857,4.71508479707764,0.141104294478528,0.0633576642335766,0.127952755905512,12,3270,508,17,3425,3296,2057,21.7142857142857,293.857142857143,7.38940204180846
